scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Cyanistes caeruleus (Linnaeus, 1758)",52.666199,-2.4638,2023-01-02T15:04:12.009Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Prunella modularis (Linnaeus, 1758)",52.786902,-2.567266,2023-01-08T10:13:41.887Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Cyanistes caeruleus (Linnaeus, 1758)",52.666199,-2.463717,2023-01-22T10:52:27.033Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Pica pica (Linnaeus, 1758)",52.666168,-2.463709,2023-01-02T13:13:42.663Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Streptopelia decaocto (Frivaldszky, 1838)",52.786898,-2.567247,2023-01-08T10:12:38.275Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Periparus ater (Linnaeus, 1758)",52.666168,-2.463813,2023-01-22T09:48:58.949Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Parus major Linnaeus, 1758",52.666199,-2.463808,2023-01-22T10:52:33.342Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Chloris chloris (Linnaeus, 1758)",52.786899,-2.56725,2023-01-08T10:13:14.368Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Buteo buteo (Linnaeus, 1758)",52.691233,-2.564975,2023-01-21T16:14:44.456Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Cyanistes caeruleus (Linnaeus, 1758)",52.666168,-2.463812,2023-01-22T09:49:09.931Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Dendrocopos major (Linnaeus, 1758)",52.818165,-2.3168,2023-01-26T01:00:51.609Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Columba palumbus Linnaeus, 1758",52.666199,-2.463808,2023-01-22T10:17:15.436Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Carduelis carduelis (Linnaeus, 1758)",52.666199,-2.463808,2023-01-22T09:40:51.963Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Turdus merula Linnaeus, 1758",52.666199,-2.463801,2023-01-24T13:50:55.254Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Corvus corax Linnaeus, 1758",52.666138,-2.463775,2023-01-22T10:24:03.496Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Pica pica (Linnaeus, 1758)",52.688477,-2.485065,2023-01-21T16:17:41.754Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Sturnus vulgaris Linnaeus, 1758",52.666199,-2.463808,2023-01-22T10:25:54.755Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Carduelis carduelis (Linnaeus, 1758)",52.666199,-2.4638,2023-01-02T14:23:04.235Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Columba palumbus Linnaeus, 1758",52.66629,-2.463764,2023-01-24T13:49:31.478Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Corvus corone Linnaeus, 1758",52.66626,-2.463808,2023-01-22T10:22:40.740Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Passer domesticus (Linnaeus, 1758)",52.666199,-2.463808,2023-01-22T09:25:04.478Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Sitta europaea Linnaeus, 1758",52.817206,-2.3175,2023-01-26T13:00:01.252Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
